n_layer1;n_layer2;dropout_1;dropout_2;act;optim;n_batch;best_val_acc
256;256;0.12504331445276196;0.19931377142800563;swish;adam;64;0.8952
128;128;0.1814121882864382;0.10824761877904267;relu;sgd;256;0.8603
256;256;0.29869718568456294;0.2166574532359267;relu;adam;128;0.8894
512;256;0.10663779856558134;0.34296926803294225;leakyrelu;rmsprop;256;0.8574
256;512;0.3882403560785311;0.06534800515606366;relu;adam;128;0.8888
256;128;0.13724598961749435;0.12258438526741978;relu;adam;256;0.8878
256;128;0.20255935823054397;0.13096249966248685;relu;adam;256;0.8859
256;128;0.33903071423887254;0.18379922074440624;relu;adam;256;0.8916
256;128;0.07071291620214487;0.1471854940317423;relu;adam;256;0.8909
256;128;0.013882481917694561;0.163809251358211;relu;adam;256;0.8954
256;128;0.04959870896697338;0.09623648686187933;relu;adam;256;0.8905
256;128;0.3076549825163958;0.11476492429828047;relu;adam;256;0.8963
256;128;0.09471004881387818;0.1380845898814652;relu;adam;256;0.8927
256;128;0.04137670935720428;0.03347822093008895;relu;adam;256;0.8911
256;128;0.08405312685774677;0.18483624949291633;relu;adam;256;0.8863
256;128;0.24142673820282262;0.2214959347472895;relu;adam;256;0.8857
256;128;0.11804288578591811;0.12205137387378118;relu;adam;256;0.8867
256;128;0.17474181947298487;0.07924818816911713;relu;adam;256;0.8891
256;128;0.27799101111297314;0.1047686598565518;relu;adam;256;0.8955
256;128;0.3224263077254419;0.15420462471350582;relu;adam;256;0.8908
256;128;0.3663770100560738;0.053722193241140956;relu;adam;256;0.8888
256;128;0.2257569177688957;0.08900229911894594;relu;adam;256;0.8949
256;128;0.2881833574899402;0.17389027516598515;relu;adam;256;0.8939
256;128;0.37718084480652914;0.24746243862703973;relu;adam;256;0.8905
256;128;0.2549583771389795;0.12993080169787793;relu;adam;256;0.8947
256;256;0.3574403651274628;0.06254417091940083;relu;adam;128;0.8937
512;128;0.05697740010052835;0.145937818852915;relu;rmsprop;256;0.8693
256;256;0.19549291083849538;0.11266987451974127;swish;adam;64;0.8802
128;256;0.3278783979190975;0.19450473918430733;relu;sgd;256;0.8555
256;128;0.03123478088741819;0.3792189281483687;relu;adam;128;0.8934
512;256;0.3145688975711183;0.2625185669426942;leakyrelu;rmsprop;256;0.86
256;512;0.43058149661257905;0.23073690546645942;relu;adam;128;0.8869
256;128;0.40169982523453074;0.28620364661028963;relu;adam;256;0.8859
512;256;0.16532073799016522;0.09414279315274507;relu;rmsprop;128;0.8899
256;256;0.27180901473751856;0.1647520203376938;swish;adam;256;0.874
256;128;0.342760700380794;0.20142360581345217;relu;sgd;64;0.8685
128;256;0.0008329798417653217;0.0745836457463282;relu;adam;128;0.8943
256;128;0.15536867365300225;0.15584263236782364;relu;adam;256;0.892
512;256;0.29412721421701293;0.046133212363270115;leakyrelu;rmsprop;128;0.8588
256;512;0.45028765857180264;0.24059432922218071;relu;adam;256;0.8884
256;256;0.35076413956319447;0.1385487169121509;relu;adam;128;0.8923
512;128;0.21944986844263298;0.12292070669731506;relu;rmsprop;256;0.8702
256;256;0.41521224085983033;0.20812506591126967;swish;adam;64;0.8844
128;128;0.2589669668835022;0.030993456841074102;relu;adam;256;0.8798
256;256;0.24065961456039747;0.1773000040458225;relu;sgd;128;0.878
256;256;0.3048346535316161;0.19220141867701968;relu;rmsprop;256;0.8778
512;128;0.10278538858631685;0.10583453451412493;leakyrelu;adam;128;0.8846
256;512;0.3737401902509075;0.21727144300707477;relu;adam;256;0.8877
256;256;0.390515228269836;0.08444561156553365;relu;adam;128;0.8876
512;128;0.33435287007283426;0.18539178061078532;relu;rmsprop;256;0.8869
256;256;0.2076043198782247;0.020552118213219506;swish;adam;64;0.8947
128;128;0.1341163389930767;0.06556221076031526;relu;sgd;256;0.8565
256;256;0.232114445855716;0.16536794366529106;relu;adam;128;0.8877
256;256;0.28169318675620536;0.2718182767568059;relu;rmsprop;256;0.8884
512;128;0.3583193104320441;0.1474046378569863;leakyrelu;adam;128;0.8706
256;512;0.32003867596604424;0.22736864578189206;relu;adam;256;0.8897
256;256;0.2687292863879752;0.2505307536500974;relu;adam;128;0.8878
512;128;0.017938948082576178;0.11539122157475044;relu;rmsprop;256;0.8861
256;256;0.31108037537863636;0.20397094603607663;swish;adam;64;0.8816
256;128;0.3672947076431005;0.17580803567859435;relu;sgd;256;0.8387
128;256;0.24909038069495873;0.16013232527867474;relu;adam;128;0.8777
256;256;0.05929357776396535;0.008501062937115375;relu;rmsprop;256;0.8566
512;128;0.29768850276031744;0.19071483496250105;leakyrelu;adam;128;0.8721
256;512;0.3415640388677012;0.33274587924073196;relu;adam;256;0.8843
256;256;0.39741301652847844;0.1390925527380092;relu;adam;128;0.8871
512;128;0.2862119369339092;0.1327088270999082;relu;rmsprop;256;0.8795
256;256;0.38639178688018183;0.21404354661127076;swish;adam;64;0.8844
256;128;0.3324558725965671;0.24080219401640202;relu;sgd;256;0.8586
128;256;0.4181201845961616;0.10334683254458289;relu;adam;128;0.886
256;256;0.3515871967386254;0.15392827290254718;relu;adam;256;0.8837
512;128;0.14646394434814522;0.04053963230385532;leakyrelu;rmsprop;128;0.8694
256;512;0.18453399868709605;0.09138660437415694;relu;adam;256;0.889
256;256;0.08239962923895004;0.05748515405491216;relu;adam;128;0.8933
512;128;0.1737155399327848;0.06886414594974609;relu;rmsprop;256;0.8777
256;256;0.3271879815765774;0.16996792120433907;swish;adam;64;0.8795
256;128;0.49857307643221577;0.25536748810335747;relu;sgd;256;0.8569
128;256;0.21604140228936466;0.1181110873365401;relu;adam;128;0.8905
256;256;0.27338706790297895;0.08201340385013381;relu;adam;256;0.8934
512;128;0.42717872117308814;0.10157573865845676;leakyrelu;rmsprop;128;0.8777
256;512;0.1150543371145887;0.05127469311088559;relu;adam;256;0.8859
256;256;0.2620602584263456;0.18297147301273745;relu;adam;128;0.8899
512;128;0.19725189434745047;0.02287003288186143;relu;rmsprop;256;0.8821
256;256;0.45863033392143443;0.23227775330698214;swish;adam;64;0.8774
256;128;0.40780498935381826;0.12748212534221331;relu;sgd;256;0.8521
128;256;0.30490420555724623;0.15060470469038462;relu;adam;128;0.8926
256;256;0.366366352386962;0.19892817489294912;relu;adam;256;0.8847
512;128;0.37579632078475034;0.22293538200418253;leakyrelu;rmsprop;128;0.8699
256;512;0.09214470429556022;0.07958139533031877;relu;adam;256;0.8945
256;256;0.2912298212779019;0.09013734765178094;relu;adam;128;0.8855
512;128;0.12733580682257684;0.11056650969172312;relu;rmsprop;256;0.8721
256;256;0.2461747088905692;0.1412210212276102;swish;adam;64;0.8777
256;128;0.2353644907023449;0.2795413071451663;relu;sgd;256;0.8512
128;256;0.007859255453364508;0.13113116096395824;relu;adam;128;0.8926
256;256;0.31808110272074047;0.26313443789423124;relu;adam;256;0.8924
